0	Thereafter, late endosome-based secretory pathways are thought to deliver Gag or assembled virions to the plasma membrane (PM) and extracellular milieu.	[[123, 125]]	[[106, 121]]	['PM']	['plasma membrane']	PMC1750931.nxml
1	Specifically, we demonstrate that HIV-1 Gag is delivered to the PM, and virions are efficiently released into the extracellular medium, when late endosome motility is abolished.	[[64, 66]]	[]	['PM']	[]	PMC1750931.nxml
2	Furthermore, we show that HIV-1 virions are efficiently released when assembly is rationally targeted to the PM, but not when targeted to late endosomes.	[[109, 111]]	[]	['PM']	[]	PMC1750931.nxml
3	Recently synthesized Gag first accumulates and assembles at the PM, but a proportion is subsequently internalized via endocytosis or phagocytosis, thus accounting for observations of endosomal localization.	[[64, 66]]	[]	['PM']	[]	PMC1750931.nxml
4	We conclude that HIV-1 assembly is initiated and completed at the PM, and not at endosomal membranes..	[[66, 68]]	[]	['PM']	[]	PMC1750931.nxml
5	Human immunodeficiency virus type I (HIV-1) Gag is the major virion structural protein, and Gag expression alone in a variety of human cell types is sufficient to generate extracellular virus-like particles (VLPs).	[[208, 211]]	[[186, 205]]	['VLP']	['virus-like particle']	PMC1750931.nxml
6	Gag exhibits several activities necessary for the formation of a complete particle [1], including an amino terminal myristoylated matrix (MA) domain that directs membrane binding, central capsid (CA) and nucleocapsid domains that drive multimerization and packaging of viral genomes, and a C-terminal domain (p6) that recruits class E vacuolar protein sorting (VPS) factors that are required for scission of the nascent virion bud [2,3]..	[[196, 198], [138, 140], [361, 364]]	[[188, 194], [130, 136], [335, 359]]	['CA', 'MA', 'VPS']	['capsid', 'matrix', 'vacuolar protein sorting']	PMC1750931.nxml
7	Historically, it was thought that almost all retrovirus Gag proteins were targeted selectively to the plasma membrane (PM) to induce efficient particle release.	[[119, 121]]	[[102, 117]]	['PM']	['plasma membrane']	PMC1750931.nxml
8	This view was based on electron microscopic or immunofluorescent detection of Gag proteins or budding structures at the PM of infected cells.	[[120, 122]]	[]	['PM']	[]	PMC1750931.nxml
9	Apparent HIV-1 assembly in endosomes appears especially prominent in macrophages, in which very large numbers of virion particles are found within compartments containing the late endosomal markers CD63 and lysosome-associated membrane protein-1 (Lamp1) [4–7].	[[247, 252]]	[[207, 245]]	['Lamp1']	['lysosome-associated membrane protein-1']	PMC1750931.nxml
10	These data suggested that Gag is initially targeted to late endosomal membranes and that Gag protein or assembled virions are subsequently delivered to the extracellular milieu or PM via an endosome-based secretory pathway.	[[180, 182]]	[]	['PM']	[]	PMC1750931.nxml
